objectid,filename,originalfile,title,type,species,varieties,features,accessory,identifier,altitudeid,date,description,season,subject,location,latitude,longitude,imagetype,format,language,creator,rights,rightsstatement
coll012,IMG_6834_11_C_Med_2014.png,,Cumulus,Cumulus,Mediocris,,,,,Low,2014,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll013,IMG_6836_12_C_Med_2014.png,,Cumulus,Cumulus,Mediocris,,,,,Low,2014,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll014,IMG_8073_15_C_Hum_2016.png,,Cumulus,Cumulus,Humilis,,,,,Low,2016,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll015,WP_20160816_19_21_59_Pro_14_CN_Capillatus_2016.png,,Cumulonimbus,Cumulonimbus,Capillatus,,,,,Multiple,2016,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. At least part of its upper portion is usually smooth, or fibrous or striated, and nearly always flattened; this part often spreads out in the shape of an anvil or vast plume.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll016,IMG_9027_21_CN_2017.png,,Cumulonimbus,Cumulonimbus,,,,,,Multiple,2017,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. At least part of its upper portion is usually smooth, or fibrous or striated, and nearly always flattened; this part often spreads out in the shape of an anvil or vast plume.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll017,WP_20170828_17_08_36_Pro_17_C_Med_2017.png,,Cumulus,Cumulus,Mediocris,,,,,Low,2017,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll018,WP_20170828_17_08_43_Pro_18_C_Med_2017.png,,Cumulus,Cumulus,Mediocris,,,,,Low,2017,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll019,WP_20170907_16_22_08_Pro_20_C_Med_2017.png,,Cumulus,Cumulus,Mediocris,,,,,Low,2017,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll020,WP_20171002_16_38_45_Pro_22_C_Cong_2017.png,,Cumulus,Cumulus,Congestus,,,,,Low,2017,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll021,WP_20171002_16_42_10_Pro_24_C_Cong_2017.png,,Cumulus,Cumulus,Congestus,,,,,Low,2017,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
