objectid,filename,type,species,features,altitudid,varieties,description,season,date,subject,location,latitude,longitude,identifier,type,format,language,creator,rights,rightsstatement
coll011,cumulo_nimbus_11.png,Cumulus ,Congestus,,L,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-01,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll012,cumulo_nimbus_12.png,Cumulonimbus,Capillatus,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-01,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll013,cumulo_nimbus_13.png,Cumulus ,Congestus,,L,,Strongly sprouting Cumulus with generally sharp outlines and often great vertical extent,Summer,2023-01-01,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll014,cumulo_nimbus_14.png,Cumulus,Congestus,,L,,Strongly sprouting Cumulus with generally sharp outlines and often great vertical extent,Summer,2023-01-01,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll015,cumulo_nimbus_15.png,Cumulonimbus,Calvus,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-01,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll016,cumulo_nimbus_16.png,Cumulonimbus,Calvus,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-01,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll017,cumulo_nimbus_17.png,Cumulonimbus,Capillatus,Praecipitatio,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-01,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll018,cumulo_nimbus_18.png,Cumulonimbus,Calvus,Iridiscent pileus,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-01,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll019,cumulo_nimbus_19.png,Cumulonimbus,Calvus,Pileus,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-01,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll020,cumulo_nimbus_20.png,Cumulonimbus,Calvus,Incus,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-02,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll021,cumulo_nimbus_21.png,Cumulonimbus,Calvus,Incus,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-03,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll022,cumulo_nimbus_22.png,Cumulonimbus,Capillatus,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-04,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll023,cumulo_nimbus_23.png,Cumulonimbus,Capillatus,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-05,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll024,cumulo_nimbus_24.png,Cumulonimbus,,Virga praecipitatio,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-06,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll025,cumulo_nimbus_25.png,Cumulonimbus,Calvus,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-07,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll026,cumulo_nimbus_26.png,Cumulonimbus,Calvus,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-08,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll027,cumulo_nimbus_27.png,Cumulonimbus,Calvus,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-09,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll028,cumulo_nimbus_28.png,Cumulonimbus,Calvus,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-10,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll029,cumulo_nimbus_29.png,Cumulonimbus,Capillatus,Praecipitatio,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-11,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
